"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         169,      -6.690215161,      -6.496838122,      -6.859435599,      -7.141104625,      -6.092829694,      -9.582936283
          0,           0,         170,      -6.702416641,      -6.498722658,      -6.879346445,      -7.142269976,      -6.103996675,      -9.583122538
          0,           0,         171,      -6.713530074,      -6.499911341,      -6.895972354,      -7.140352495,      -6.114216167,      -9.583210514
          0,           0,         172,      -6.722802575,      -6.500138864,      -6.907670283,      -7.138632989,      -6.122844155,      -9.583194423
          0,           0,         173,      -6.729677276,       -6.49932979,      -6.913860502,      -7.138296238,      -6.129516634,      -9.583070584
          0,           0,         174,      -6.734102899,      -6.497622871,      -6.915218402,       -7.13973227,      -6.134241789,      -9.582838663
          0,           0,         175,      -6.736402449,      -6.495201485,       -6.91307911,      -7.143333672,      -6.137210671,      -9.582501818
          0,           0,         176,      -6.737174183,      -6.492324406,      -6.909144559,       -7.14950524,      -6.138827989,      -9.582066744
          0,           0,         177,       -6.73710633,      -6.489317162,      -6.905077229,      -7.158541222,      -6.139628141,      -9.581542344
          0,           0,         178,      -6.736865863,      -6.486527674,      -6.902270077,      -7.170640738,      -6.140177792,      -9.580939786
          0,           0,         179,      -6.737127973,      -6.484294715,      -6.901893244,      -7.185829691,      -6.141079796,      -9.580269881
          0,           0,         180,      -6.738600358,      -6.482934721,      -6.904927267,      -7.203871963,      -6.142981345,      -9.579547211
          0,           0,         181,      -6.741834194,      -6.482679108,      -6.911954923,      -7.224421918,      -6.146395032,      -9.578788801
          0,           0,         182,      -6.747060268,      -6.483636815,      -6.922912613,      -7.246623175,      -6.151550619,      -9.578014642
          0,           0,         183,        -6.7543478,      -6.485841002,      -6.937472046,      -7.268839735,      -6.158542443,      -9.577245727
          0,           0,         184,      -6.763722371,      -6.489274148,      -6.955226392,      -7.288877524,      -6.167424643,      -9.576501932
          0,           0,         185,      -6.775133749,      -6.493865184,      -6.975566177,      -7.304461143,       -6.17817474,      -9.575800809
          0,           0,         186,      -6.788444912,      -6.499506481,      -6.997648617,      -7.314024031,      -6.190693874,      -9.575155576
          0,           0,         187,      -6.803426796,      -6.506064429,      -7.020441063,       -7.31749391,      -6.204812292,      -9.574576959
          0,           0,         188,      -6.819856627,      -6.513390484,      -7.042953556,      -7.316552014,      -6.220373813,      -9.574074445
          0,           0,         189,      -6.837197478,      -6.521210504,      -7.063539497,      -7.314110863,      -6.236926219,      -9.573655993
          0,           0,         190,      -6.854594081,      -6.529189004,      -7.080124031,      -7.311726939,      -6.253757043,      -9.573329436
          0,           0,         191,      -6.871408578,      -6.537088564,      -7.091709538,      -7.309821079,      -6.270371158,      -9.573098903
          0,           0,         192,       -6.88714808,      -6.544704938,      -7.098168094,      -7.308848585,      -6.286334982,      -9.572964697
          0,           0,         193,      -6.901428497,       -6.55185687,       -7.10006474,      -7.309418054,      -6.301235527,      -9.572924378
          0,           0,         194,      -6.914055389,      -6.558420332,      -7.098661733,      -7.312114915,      -6.314783189,      -9.572973874
          0,           0,         195,      -6.925024267,      -6.564315281,      -7.095696279,      -7.317814397,       -6.32683511,      -9.573107759
          0,           0,         196,      -6.934454961,      -6.569478642,      -7.092908879,      -7.327322978,      -6.337387357,      -9.573320673
          0,           0,         197,      -6.942660596,      -6.573902683,      -7.091737387,      -7.341036445,      -6.346656676,      -9.573604502
          0,           0,         198,      -6.950049743,      -6.577638885,       -7.09309736,      -7.358757086,      -6.354955222,      -9.573949557
          0,           0,         199,      -6.957126493,      -6.580770878,       -7.09760105,      -7.379728501,      -6.362674803,      -9.574343984
          0,           0,         200,      -6.964368914,      -6.583386685,      -7.105597401,      -7.402805292,      -6.370190743,      -9.574774884
          0,           0,         201,      -6.972073438,      -6.585557393,      -7.117105479,      -7.426518024,       -6.37774673,      -9.575229141
          0,           0,         202,      -6.980314383,      -6.587328755,      -7.131856137,      -7.449060103,       -6.38542967,      -9.575693665
          0,           0,         203,       -6.98897538,      -6.588724255,      -7.149325569,      -7.468502018,      -6.393185912,      -9.576155694
          0,           0,         204,        -6.9978308,      -6.589757481,      -7.168810544,      -7.483201675,      -6.400875593,       -9.57660282
          0,           0,         205,      -7.006626259,      -6.590444933,      -7.189488483,      -7.492462856,      -6.408321726,      -9.577024031
          0,           0,         206,      -7.014931307,      -6.590777965,      -7.209958749,      -7.497371667,       -6.41519758,      -9.577411196
          0,           0,         207,       -7.02216763,      -6.590730464,      -7.228377469,      -7.499154337,      -6.421105374,      -9.577756318
          0,           0,         208,      -7.027930346,       -6.59031542,      -7.243339623,      -7.498582244,      -6.425816068,      -9.578052748
          0,           0,         209,      -7.031958249,      -6.589560235,      -7.253877569,      -7.496634747,       -6.42915623,      -9.578295852
          0,           0,         210,      -7.034168304,       -6.58850845,      -7.259666286,      -7.494548367,      -6.431054567,      -9.578482936
          0,           0,         211,      -7.034684612,      -6.587234704,      -7.261190988,      -7.493574294,      -6.431609836,      -9.578613017
          0,           0,         212,      -7.033807952,      -6.585845569,       -7.25958112,      -7.494794751,      -6.431070022,      -9.578686814
          0,           0,         213,      -7.031970694,      -6.584465572,      -7.256293155,      -7.499078999,      -6.429784822,      -9.578706604
          0,           0,         214,       -7.02972174,      -6.583229746,      -7.252835639,      -7.506947237,      -6.428194976,      -9.578675654
          0,           0,         215,      -7.027693437,      -6.582280534,      -7.250594089,      -7.518646226,      -6.426818411,      -9.578598581
          0,           0,         216,      -7.026486198,      -6.581746692,      -7.250698657,      -7.534275125,      -6.426165256,      -9.578482013
          0,           0,         217,      -7.026556781,      -6.581724002,      -7.253871161,      -7.553596236,      -6.426640061,       -9.57833455
          0,           0,         218,      -7.028209398,      -6.582273579,      -7.260442515,      -7.575825914,      -6.428522813,      -9.578166306
          0,           0,         219,      -7.031646357,      -6.583427958,      -7.270491054,      -7.599575674,      -6.432004655,      -9.577987728
          0,           0,         220,      -7.036995859,      -6.585197434,      -7.283918597,      -7.622915234,      -6.437209165,      -9.577809121
          0,           0,         221,      -7.044314182,      -6.587574518,      -7.300454051,       -7.64375415,      -6.444196928,      -9.577640516
          0,           0,         222,      -7.053566563,      -6.590530152,      -7.319623337,      -7.660251134,      -6.452952824,      -9.577490228
          0,           0,         223,      -7.064710479,      -6.594029994,      -7.340944446,      -7.671169257,      -6.463463511,      -9.577365037
          0,           0,         224,      -7.077625794,      -6.598013463,      -7.363679303,      -7.677078906,      -6.475648671,      -9.577271532
          0,           0,         225,      -7.091900537,       -6.60235662,      -7.386196152,      -7.679485032,      -6.489170342,      -9.577216942
          0,           0,         226,      -7.107048619,      -6.606929029,       -7.40675503,      -7.679139003,      -6.503642043,      -9.577207579
          0,           0,         227,      -7.122658241,      -6.611619092,      -7.424062359,      -7.676600838,      -6.518740208,      -9.577247857
          0,           0,         228,      -7.138319138,       -6.61632228,       -7.43715235,       -7.67285195,      -6.534112382,      -9.577339891
          0,           0,         229,      -7.153614186,      -6.620945327,      -7.445567726,      -7.669105194,      -6.549372094,      -9.577484083
          0,           0,         230,      -7.168182995,       -6.62542012,      -7.449656852,      -7.666591738,      -6.564158101,      -9.577679457
          0,           0,         231,      -7.181702378,       -6.62969121,      -7.450433681,      -7.666683054,      -6.578114724,      -9.577924264
          0,           0,         232,      -7.193899745,      -6.633698417,      -7.449262408,      -7.670594235,      -6.590922937,      -9.578216437
          0,           0,         233,      -7.204592775,      -6.637383732,      -7.447510859,      -7.679038346,      -6.602353749,      -9.578553574
          0,           0,         234,      -7.213766186,      -6.640715104,      -7.446416283,      -7.691927348,      -6.612315803,       -9.57893221
          0,           0,         235,      -7.221596533,      -6.643683474,       -7.44704302,      -7.708735998,      -6.620866162,       -9.57934757
          0,           0,         236,      -7.228345782,      -6.646292752,      -7.450153162,      -7.728774001,      -6.628137269,       -9.57979393
          0,           0,         237,      -7.234253553,       -6.64855381,      -7.456180666,      -7.751166892,      -6.634274033,      -9.580265359
